LotArea,YearBuilt,FullBath,BedroomAbvGr,GarageCars,SalePrice
8450,2003,2,3,2,208500
9600,1976,2,3,2,181500
11250,2001,2,3,2,223500
9550,1915,1,3,1,140000
14260,2000,2,4,3,250000
14115,1993,2,3,2,143000
10084,1978,2,3,2,307000
10382,2001,2,3,2,200000
6120,1998,2,3,2,129900
7420,2007,2,3,2,118000
11241,1959,1,3,1,129500
10791,2005,2,3,2,345000
6240,1930,1,2,1,144000
8472,2004,2,3,2,279500
50271,1998,3,5,3,380000
9236,2004,2,4,3,235000
9200,1971,2,4,2,173000
7458,1956,1,3,1,165000
13830,2003,2,3,3,337000
9978,1965,2,3,1,159000
5005,2006,2,3,2,204750
10000,2007,2,3,2,215200
7200,1999,2,3,2,160000
11622,1994,2,4,3,231500
10800,1950,1,2,1,112000
8400,2003,2,3,2,230000
6000,1920,1,2,1,95000
16800,1978,2,3,2,260000
12500,1992,2,4,3,275000
7000,1955,1,2,1,120000
9200,1965,1,3,1,130000
10000,2004,2,3,2,200500
8450,1980,1,3,1,137500
9600,1996,2,3,2,223000
11000,1973,2,3,2,197000
8200,2010,2,4,2,325000
10500,2005,2,3,2,267000
9700,1962,2,4,2,210000
7500,1940,1,2,1,100000
9800,1990,2,3,2,225000
